Ideology,Type,Description,Legalism_Jusnaturalism,Subsidiary_Unitary,Globalism_Sovereignism,Reformist_Revolutionary
Adamsian Republicanism,Political Ethics,"POLITICAL ETHICS. Classical republican philosophy of John Adams combining Ciceronian commitment to mixed and balanced constitutional government with Puritan moral seriousness. Strongly legalist in grounding authority in constitutional law and common law tradition, moderately unitary in preferring strong central institutions while less centralist than Hamilton, moderately reformist in working through constitutional channels, and moderately sovereignist in commitment to national independence and neutral rights.",0.8,-0.45,-0.3,0.25
Anarcho-Communism (Kropotkin/Bakunin),Ideology,"IDEOLOGY. Political philosophy of Kropotkin and Bakunin holding that voluntary cooperation and mutual aid make the state unnecessary and harmful. Strongly jusnaturalist in grounding vision in human nature's cooperative tendencies, maximally subsidiarian through federated communes, maximally revolutionary in calling for abolition of state and capital, and strongly globalist in stateless world federation vision.",-0.85,0.9,0.65,-0.85
Anarcho-Syndicalism (Reformist),Ideology,"IDEOLOGY. Gradualist wing of labor movement combining anarchist anti-statism with syndicalist trade union organization, pursuing worker control through organizing and building alternative institutions. Strongly jusnaturalist in grounding workers' rights in natural autonomy, strongly subsidiarian in worker-controlled federations, barely reformist in building power before seizing it, and moderately globalist in cross-border labor solidarity.",-0.75,0.8,0.3,0.2
Autonomism (Italian Operaismo),Ideology,"IDEOLOGY. Italian workerist and autonomist tradition analyzing class struggle through lens of workers' autonomous refusal of capitalist discipline. Strongly jusnaturalist in appeal to labor-power as constituent force exceeding capitalist command, strongly subsidiarian in rejecting centralized party or state forms, strongly revolutionary through strategies of exodus and constituent power, and moderately globalist in the later phase.",-0.65,0.75,0.55,-0.8
Bismarckian Conservatism,Ideology,"IDEOLOGY. Top-down statecraft combining strong centralized authority with pragmatic social insurance, developed by Otto von Bismarck in late 19th-century Prussia and Germany. Prioritizes legal-institutional stability over ideological purity, uses the state as the primary instrument of national cohesion, and pursues gradual policy change to preempt radical alternatives. Strongly legalist in grounding authority in positive law and constitutional frameworks, strongly unitary in preferring centralized federal power, moderately reformist through incremental legislative change, and strongly sovereignist in treating the nation-state as the supreme political unit.",0.65,-0.7,-0.8,0.2
Black Nationalism (Malcolm X),Ideology,"IDEOLOGY. Political tradition of Black self-determination, separatism, and cultural pride as expressed by Malcolm X, Nation of Islam, and early Black Power movement. Moderately jusnaturalist in arguing Black people possess inherent rights to self-governance, strongly unitary in envisioning Black nation-state or autonomous territory, moderately revolutionary in rejecting integration, and moderately sovereignist in Black communal self-determination.",-0.55,-0.65,-0.6,-0.35
Bolshevism/Leninism,Ideology,"IDEOLOGY. Vladimir Lenin's revolutionary doctrine holding that disciplined vanguard party must seize state power and use it to rapidly transform society toward communism. Barely jusnaturalist in using revolutionary law as instrument of transformation, maximally unitary through dictatorship of the proletariat, maximally revolutionary in violent overthrow and reconstruction, and barely globalist in oscillating between world revolution and building socialism in one country.",-0.1,-0.9,0.1,-0.9
Chestertonian Distributivism,School of Thought,"SCHOOL OF THOUGHT. Economic and social philosophy of G.K. Chesterton and Hilaire Belloc arguing property ownership should be widely distributed rather than concentrated. Strongly jusnaturalist in Thomistic natural law and Catholic social teaching, strongly subsidiarian in family ownership and guild organization, moderately reformist through cultural and economic advocacy, and moderately sovereignist in skepticism of globalist economic integration.",-0.75,0.75,-0.45,0.4
Christian Anarchism (Tolstoy),Ideology,"IDEOLOGY. Leo Tolstoy's political philosophy deriving anarchism from Sermon on the Mount, arguing Kingdom of God requires abolition of all coercive institutions and their replacement with voluntary communities of love. Maximally jusnaturalist in grounding ethics in divine natural law, strongly subsidiarian in opposing all centralized authority, barely reformist through moral persuasion and nonviolent resistance, and moderately globalist in rejection of national boundaries.",-0.9,0.85,0.4,0.25
Christian Democracy (post-WWII EU),Ideology,"IDEOLOGY. Post-WWII European political tradition rooted in Catholic social teaching, combining market economies with strong welfare states, federalist political structures, and European integration. Moderately jusnaturalist in human dignity foundations, barely subsidiarian through decentralized service delivery, moderately reformist in consensus-building, and moderately globalist in strong European commitment.",-0.25,0.15,0.6,0.45
Civic Republicanism (Arendt/Sandel),Philosophy,"PHILOSOPHY. Contemporary political philosophy emphasizing non-domination, active citizenship, and common good as foundations of political life. Moderately jusnaturalist in natural freedom foundations, barely unitary in requiring strong republic to guarantee non-domination, moderately reformist in academic mode, and barely globalist in cosmopolitan principles while wary of undemocratic global governance.",-0.4,-0.05,0.15,0.55
Civil Rights Activism (Martin Luther King Jr.),Political Ethics,"POLITICAL ETHICS. Civil rights philosophy of MLK as expressed in Letter from Birmingham Jail, constituting powerful modern application of natural law theory to political struggle. Strongly jusnaturalist in explicitly invoking Augustine and Aquinas against unjust segregation laws, moderately unitary in deploying federal power against state oppression, strongly reformist through nonviolent direct action within democratic institutions, and moderately globalist in international solidarity.",-0.8,-0.25,0.5,0.7
Civilizational Statism (Putin's Russia),Emerging Movement,"EMERGING MOVEMENT. Governing paradigm explicitly rejecting the Westphalian nation-state in favor of the civilizational state. Blends extreme centralization of state power, oligarchic capitalism, Orthodox traditionalism, and revanchist imperialism over the Russkiy Mir (Russian World). Moderately legalist in using constitutional manipulation to legitimize autocracy, strongly unitary in the vertical of power, barely reformist internally, and sovereignist in rejecting universal Western liberal hegemony to enforce a multipolar world of competing civilizational blocs.",0.6,-0.85,-0.5,0.15
Classical Liberalism (Locke/Smith),School of Thought,"SCHOOL OF THOUGHT. Political philosophy emerging from Locke, Adam Smith, and 18th-century Enlightenment, championed by the British Whigs, grounding individual rights in natural law while defending constitutional rule of law and free markets. Moderately legalist in constitutional frameworks, moderately subsidiarian in preferring minimal state, moderately reformist in parliamentary means, and moderately globalist through free trade and international law.",0.55,0.65,0.4,0.4
Communitarianism,Philosophy,"PHILOSOPHY. Political philosophy of Sandel, MacIntyre, Taylor, and Walzer critiquing liberal individualism and arguing that identity and morality are constituted within communities and traditions. Moderately jusnaturalist in grounding rights in communal moral frameworks, barely unitary in preference for community-level institutions, moderately reformist in academic policy orientation, and moderately sovereignist in emphasis on particular communities.",-0.55,-0.15,-0.3,0.35
Comtean Positivism,Philosophy,"PHILOSOPHY. Political and social philosophy of Auguste Comte advocating replacement of religion and metaphysics with scientific positive philosophy that would reorganize society according to discovered sociological laws. Maximally legalist in dismissing natural rights as metaphysical nonsense, strongly unitary through centralized scientific direction by priesthood of sociologists, barely reformist in method through intellectual conversion despite radically transformative vision, and strongly globalist in universal scientific laws transcending national boundaries toward scientifically organized global civilization.",0.9,-0.85,0.7,0.2
Confucian Statism (Xi's China),Emerging Movement,"EMERGING MOVEMENT. Governing philosophy informing contemporary Singapore and Xi's China, blending Confucian ethics of hierarchical harmony with modern state institutions. Moderately jusnaturalist in grounding authority in moral-ethical norms derived from human nature, strongly unitary and paternalistic in implementation, moderately reformist in gradual social management, and strongly sovereignist in resistance to Western liberal norms.",-0.3,-0.8,-0.7,0.35
Confucianism,Philosophy,"PHILOSOPHY. Chinese philosophical tradition originating with Confucius (551–479 BCE), grounding political legitimacy in moral cultivation, hierarchical reciprocity, and the ruler's virtue (ren) as the foundation of just governance. Authority derives from Heaven's moral mandate (Tianming) rather than enacted statute, making it jusnaturalist in character, though it relies heavily on ritual propriety (li) as a quasi-legal ordering mechanism. Envisions a paternalistic but benevolent state in which the ruler models virtue and the family serves as the primary social unit, with loyalty and filial piety binding the hierarchy together. Moderately jusnaturalist in grounding authority in moral-natural order above positive law, moderately unitary in endorsing hierarchical state structures with the ruler at their apex, moderately reformist in emphasizing gradual moral cultivation and loyal remonstrance over rupture, and moderately sovereignist in centering political life on the particular civilizational order rather than universal institutions.",-0.6,-0.5,-0.4,0.55
Democrat Obama-Bidenism,Emerging Movement,"EMERGING MOVEMENT. Governing philosophy of Barack Obama's presidency combining constitutional law professor's faith in institutional process with pragmatic progressive politics of incremental reform. Moderately legalist in commitment to rule of law while willing to deploy executive orders, moderately unitary in expanding executive reach while defending checks and balances, moderately reformist in gradualist change through institutions, and strongly globalist through multilateral diplomacy and restoration of international alliances.",0.35,-0.25,0.65,0.5
